,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
185,0.6765397116069962,-0.16003762051962758,0.19504798404264703,,,,0.5159322920676133,,0.31230053242146566,,0.5871641718436756,0.9999999999999998,0.6688616220905853,0.7421627717800043,0.6945129492493741,,군산시,Noun
186,,,,,,,,,,,,,,,,,호떡,Noun
187,,0.9767160817676662,-1.0,,,,,,,,-1.0,,0.3088606727276791,0.9999999999999999,-0.8154140946302472,,건물,Noun
188,,,,,,,,,,,,,,,,,에어비앤비,Noun
189,,,,,,,,,,,,,,,,,무료,Noun
190,-1.0,1.0,,,,,,1.0,,,,,1.0,-1.0,-1.0,,무녀도,Noun
191,,,,,,,,,,,,,,,,,마음,Noun
192,,,,,,,,,,,,,,,,,갈비,Noun
193,,,,,,,,,,,,,,,,,전주시,Noun
194,,,,,,,,,,,,,,,,,타이,Noun
195,,,,,,,,,,,,,,,,,도심,Noun
196,,,,,,,,,,,,,,,,,베스트,Noun
197,,,,,,,,,,,,,,,,,역전,Noun
198,,-1.0,,,,,,,,,1.0,,1.0,,-1.0,,느낌,Noun
199,,,,,,,,,,,,,,,,,닥터,Noun
200,,,,,,,,,,,,,,,,,구글,Noun
201,,,,,,,,,,,,,,,,,도보,Noun
202,,,,,,,,,,,,,,,,,장소,Noun
203,,,,,,,,,,,,,,,,,전시,Noun
204,0.9093425203915534,-0.05463723443298348,-1.0,,,,,,0.9999999999999999,,1.0,,-0.03896882258555868,0.9999999999999998,-0.8075185039256422,,사람,Noun
205,-1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,0.7324669187924414,-1.0,,장자도,Noun
206,,1.0,,,,,,,,,-1.0,,1.0,,1.0,,촬영,Noun
207,,,,,,,,,,,,,,,,,상점,Noun
208,,,,,,,,,,,,,,,,,천리,Noun
209,0.6728587542811106,0.835339109147895,0.34363049227158365,0.8153614815868121,,0.9510507780262945,0.9600512758637987,-1.0,0.8116960435491455,,0.4496976151728423,0.8990373840603603,0.5649546861588077,0.840490271229794,1.0,0.4874479261358813,신흥동,Noun
210,,-1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,버스,Noun
211,,,,,,,,,,,,,,,,,황금,Noun
212,,,,,,,,,,,,,,,,,설명,Noun
213,,,,,,,,,,,,,,,,,오메가,Noun
214,,,,,,,,,,,,,,,,,월령,Noun
215,,,,,,,,,,,,,,,,,산책,Noun
216,,,,,,,,,,,,,,,,,테리,Noun
217,,,,,,,,,,,,,,,,,탕수육,Noun
218,-1.0,0.6947891815013234,1.0,,,,1.0,,,,-0.28720101658219904,,0.953098540102862,0.9801826594281065,0.7461382171457126,,초원,Noun
219,,,0.6800440407208991,,,,,,,,-1.0,,,-0.015958278944334246,,,청년,Noun
220,,,,,,,,,,,,,,,,,콘텐츠,Noun
221,,,,,,,,,,,,,,,,,고흐,Noun
222,,,,,,,,,,,,,,,,,직접,Noun
223,,,,,,,,,,,,,,,,,마카롱,Noun
224,,,,,,,,,,,,,,,,,수분,Noun
225,,,,,,,,,,,,,,,,,이미지,Noun
226,,,,,,,,,,,,,,,,,운영,Noun
227,,-1.0,,,,,,,,,1.0,,1.0,,-1.0,,성루,Noun
228,,,,,,,,,,,,,,,,,때문,Noun
229,,,,,,,,,,,,,,,,,완산구,Noun
230,0.9999999999999999,,1.0,,,,,,1.0,,,,0.986018668567938,,,,당일치기,Noun
231,,,,,,,,,,,,,,,,,유봉,Noun
232,0.22265203547403337,0.6734229222601972,-0.17270577992579264,0.3231900928534636,0.9999999999999999,-0.244979186011361,0.6392212238886519,1.0,0.3003717440672637,,-0.0003549336196144626,0.03741764533565071,0.9999999999999998,0.4758645337843401,0.5649546861588077,0.8914786788365725,사진관,Noun
233,,,0.5385376554963791,,,,1.0,,,,0.4509435629104529,,1.0,1.0,,,호수,Noun
234,,,,,,,,,,,,,-1.0,,,,조식,Noun
235,,,,,,,,,,,,,,,,,쪼기,Noun
236,,,,,,,,,,,,,,,,,공간,Noun
237,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,음식점,Noun
238,,,,,,,,,,,,,,,,,테디베어,Noun
239,,,,,,,,,,,,,,,,,해원,Noun
240,,,,,,,,,,,,,0.9999999999999999,,,,박대,Noun
241,,,,,,,,,,,,,,,,,생태관광,Noun
242,-1.0,0.9999999999999998,-1.0,0.9999999999999998,,1.0,1.0,,,,0.9999999999999999,1.0,0.3231900928534636,1.0,0.8153614815868121,1.0,디저트,Noun
243,,,,,,,,,,,,,,,,,항쟁,Noun
244,,,,,,,,,,,,,,,,,공예,Noun
245,,,,,,,,,,,,,,,,,포스팅,Noun
246,,,,,,,,,,,,,,,,,사관,Noun
247,,,,,,,,,,,,,,,,,관광객,Noun
248,,,,,,,,,,,,,,,,,일제강점기,Noun
249,,,,,,,,,,,,,,,,,웨스턴,Noun
250,,,0.9999999999999999,,,,0.8214144746685811,,,,0.8864525937513688,,,0.7819540539709895,,,추천,Noun
251,,,,,,,,,,,,,,,,,체크,Noun
252,0.6114784457456666,0.27109182182822145,0.18458334254880823,,,1.0,0.40512178928695625,,0.3028921183095001,,0.5559306353154495,0.3915536321958861,0.7663026981374904,0.777773400670166,0.6328407872644382,,전라북도,Noun
253,,,,,,,,,,,,,,,,,주차장,Noun
254,,,,,,,,,,,,,,,,,고군산군도,Noun
